"index,subject,relation,object"
"258,侵蚀,belongs_to,腐蚀类型"
"259,冲击腐蚀,belongs_to,腐蚀类型"
"260,空泡腐蚀,belongs_to,腐蚀类型"
"261,空泡腐蚀,belongs_to,腐蚀现象"
"262,冲击腐蚀,acts_on,金属表面"
"263,流动的水,causes,侵蚀"
"264,空泡腐蚀,occurs_in,快速流动的液体环境"
"265,空泡腐蚀,causes,金属表面点蚀"
"266,腐蚀余量,belongs_to,设计参数"
"267,船级社,specifies,腐蚀余量"
"282,锌板,used_for,保护铜质螺旋桨"
"283,锌板,used_for,保护沉浸在海水中的装置"
"284,锌合金,used_for,牺牲阳极保护系统"
"285,铝,used_for,牺牲阳极保护系统"
"286,镁,used_for,牺牲阳极保护系统"
"287,镁阳极,not_used_for,油船压载舱"
"288,镁阳极,not_used_for,油船货舱"
"289,铝阳极,used_for,油船"
"290,铝阳极,installed_at,势能小于 $28mathrm{kg}cdot mathrm{m}$ 的位置"
"291,牺牲阳极,installed_on,船体"
"292,牺牲阳极,installed_in,压载舱"
"293,外加电流保护系统,uses,非消耗性贵金属阳极"
"351,氯化橡胶,belongs_to,材料"
"352,氯化橡胶,belongs_to,材料部件"
"353,氯化橡胶,used_for,船底防锈漆"
"354,氯化橡胶,used_for,水线漆"
"355,氯化橡胶,used_for,船壳漆"
"356,氯化橡胶,used_for,甲板漆"
"357,氯化橡胶,has,耐水性"
"358,氯化橡胶,has,耐化学性"
"359,氯化橡胶,used_for,大气区"
"360,氯化橡胶,used_for,维护保养"
"361,氯化橡胶,belongs_to,媒介物"
"362,氯化橡胶,has,有机溶剂溶解度"
"363,氯化橡胶,used_for,防腐涂料"
"364,氯化橡胶,used_for,水线以下区域"
"365,氯化橡胶,has,耐碱性"
"366,氯化橡胶,has,抗腐蚀性能"
"367,异构化橡胶,belongs_to,材料"
"368,异构化橡胶,produced_from,天然橡胶"
"369,异构化橡胶,produced_by,化学方法"
"370,异构化橡胶,has,相同的化学成分"
"371,异构化橡胶,has,不同的分子结构"
"372,异构化橡胶,belongs_to,媒介物"
"373,异构化橡胶,has,有机溶剂溶解度"
"374,聚氨基甲酸乙酯树脂,belongs_to,材料"
"375,聚氨基甲酸乙酯树脂,produced_from,异氰酸酯"
"376,聚氨基甲酸乙酯树脂,produced_from,羟基混合物"
"377,聚氨基甲酸乙酯树脂,produces,尿烷"
"378,聚氨基甲酸乙酯树脂,used_for,水线以上船体"
"379,聚氨基甲酸乙酯树脂,has,耐候性"
"380,聚氨基甲酸乙酯树脂,has,化学稳定性"
