id:ID,name,summary,type,domain_relevance,entity_chunk_id,relation_chunk_id,:LABEL
entity_1,脆性破坏,脆性破坏是指在断裂的边缘没有产生变形以及具有明显的颗粒状外观的破坏形式，可以通过明显的锯齿痕来区别，这些锯齿痕倾向于指向最初发生破坏的点。 | 脆性破坏发生时，没有任何明显迹象的弹性材料断裂或者在失效之前几乎没有材料变形的证据。,破坏类型|材料特性,domain_specific,20|19,1399|1411|1412|1413|1414|618|630|631|632|633,破坏类型
entity_2,延性破坏,延性破坏是指在断裂过程中有暗灰色外观的破坏形式，通常伴随着较大的变形。 | 延性破坏有暗灰色的外观，与脆性破坏可以通过外观和锯齿痕进行区分。,破坏类型|材料特性,domain_specific,20|19,1412|631,破坏类型
entity_3,缺口延性,缺口延性是衡量钢材相对韧性的指标，由冲击试验决定，具有良好缺口延性的钢材能有效抑制裂纹扩展。,材料性能,domain_specific,20,1413|632,材料性能
entity_4,D级钢,用于船舶建造的钢材，具有较高的缺口延性，应用于使用较厚板材的地方和高应力区域。 | 用于货舱区域甲板板的钢材，当板厚超过40mm时使用，适用于普通货船的强度甲板。,材料,domain_specific,20|50,769|1383|1413|1550|1587|602|632,材料
entity_5,E级钢,用于船舶建造的钢材，具有较高的缺口延性，应用于使用较厚板材的地方和高应力区域。 | 用于船长不超过260m的强度甲板纵桁，当设计厚度超过25mm时使用。 | 用于油船船中部分的止裂列板，厚度要求在不同位置达到15毫米以上、25毫米以上或40毫米以上。,材料,domain_specific,20|50|58,769|1383|1413|1414|1550|1587|602|632|633|806,材料
entity_6,锰,用于船舶建造的钢材中添加的元素，尤其是在限定碳含量时，以提高缺口延性。,材料成分,domain_specific,20,1377|1378|1413|596|597|632,材料成分
entity_7,热处理,用于船舶建造的钢材可能进行的可控热处理，以提高其缺口延性。 | 通过冷热循环提高铝合金的拉伸强度，使其具有更好的耐腐蚀性和结构性能。,工艺,domain_specific,20|15,1384|1387|1388|1392|1393|1413|606|607|612|632|977,工艺
entity_8,疲劳断裂,疲劳断裂是由于结构上重复性低应力作用下发生的缓慢裂纹扩展，最终导致承载构件失效。,破坏类型,domain_specific,20,1414|633,破坏类型
entity_9,高屈服强度钢,用于现代大型船舶（如油船、散货船和集装箱船）的结构材料，因其较高的屈服强度被广泛使用。,材料,domain_specific,20,1415|634,材料
entity_10,屈曲,屈曲是指受压构件在应力水平低于材料屈服应力时发生的失稳现象，其临界载荷取决于几何尺寸、边界条件和材料弹性模量。,结构失效类型,domain_specific,20,766|1415|1565|634,结构失效类型
