:START_ID,:END_ID,:TYPE
entity_2859,entity_5087,has
entity_2859,entity_5088,has
entity_2859,entity_5089,has
entity_2859,entity_476,uses
entity_2859,entity_1770,located_at
entity_2859,entity_2764,connects_to
entity_2867,entity_1770,located_at
entity_2867,entity_2764,connects_to
entity_5090,entity_2880,has
entity_5090,entity_1770,located_at
entity_4202,entity_5091,has
entity_4202,entity_3540,has
entity_1969,entity_5091,has
entity_1969,entity_3540,has
entity_5092,entity_97,has
entity_2868,entity_5093,connects_to
entity_2868,entity_5094,connects_to
entity_783,entity_1843,uses
entity_783,entity_5093,connects_to
entity_783,entity_5094,connects_to
entity_783,entity_5095,has
entity_5095,entity_5096,connects_to
entity_5095,entity_5097,connects_to
entity_2869,entity_5098,located_at
entity_2869,entity_5099,located_at
entity_2869,entity_5100,located_at
entity_2869,entity_791,located_at
entity_2869,entity_965,part_of
entity_2869,entity_2885,connects_to
entity_2885,entity_5093,connected_to
entity_2879,entity_965,part_of
entity_2879,entity_1683,located_at
entity_2879,entity_5101,has
entity_2879,entity_1676,located_at
entity_1654,entity_525,extends_to
entity_1654,entity_2879,supports
entity_965,entity_5102,has
entity_965,entity_2878,has
entity_2878,entity_5103,connects_to
entity_791,entity_2869,contains
entity_2869,entity_2870,uses
entity_2870,entity_5104,applied_to
entity_2870,entity_5105,has
entity_2870,entity_5106,has
entity_2870,entity_5104,located_at
entity_2871,entity_5107,located_at
entity_2871,entity_5108,has
entity_2872,entity_5109,located_at
entity_2872,entity_5110,has
entity_5110,entity_5111,located_at
entity_2872,entity_5112,located_at
entity_2872,entity_1702,distributed_along
entity_2872,entity_5113,has
entity_2873,entity_791,connects_to
entity_2873,entity_5114,connects_to
entity_5115,entity_5116,prevents
entity_5115,entity_5117,prevents
entity_5115,entity_5118,prevents
entity_2874,entity_5119,located_at
entity_5120,entity_5121,connects_to
entity_5121,entity_5122,independent_of
entity_5121,entity_5123,independent_of
entity_5121,entity_5124,used_for
entity_5125,entity_5126,used_for
entity_5127,entity_5128,can_be_installed_at
entity_5127,entity_5129,passes_through
